,Accuracy,Loss,Network,Validation Accuracy,Validation Loss
0,0.734+/-0.05,0.525+/-0.121,AlexNet,0.636 +/- 0.04,0.607+/-0.035
0,0.508+/-0.01,0.694+/-5.054,VGG11,0.497 +/- 0.007,0.693+/-0.005
0,0.484+/-0.01,0.694+/-18.155,VGG16,0.5 +/- 0.0,0.693+/-0.008
0,0.84+/-0.06,0.364+/-0.092,ResNet18,0.702 +/- 0.052,0.868+/-0.927
0,0.81+/-0.05,0.423+/-0.128,ResNet50,0.719 +/- 0.063,0.705+/-1.31
0,0.794+/-0.07,0.715+/-0.165,GoogLeNet,0.691 +/- 0.055,0.883+/-0.371
0,0.72+/-0.05,0.544+/-0.272,AlexNet Pretrained,0.688 +/- 0.043,0.628+/-0.136
0,0.758+/-0.07,0.629+/-0.234,VGG11 Pretrained,0.762 +/- 0.055,0.523+/-0.114
0,0.692+/-0.06,0.705+/-0.293,VGG16 Pretrained,0.738 +/- 0.06,0.534+/-0.183
0,0.73+/-0.06,0.531+/-0.053,ResNet18 Pretrained,0.705 +/- 0.052,0.555+/-0.049
0,0.773+/-0.06,0.488+/-0.06,ResNet50 Pretrained,0.67 +/- 0.046,0.579+/-0.042
0,0.714+/-0.05,0.537+/-0.044,GoogLeNet Pretrained,0.706 +/- 0.048,0.554+/-0.039
