,actual_class,imp_preds,poss_preds,seed
0,Impossible,15,17,0
0,Possible,7,25,0
0,Impossible,11,21,1
0,Possible,5,27,1
0,Impossible,9,23,2
0,Possible,4,28,2
0,Impossible,15,17,3
0,Possible,5,27,3
0,Impossible,7,25,4
0,Possible,1,31,4
0,Impossible,7,25,5
0,Possible,3,29,5
0,Impossible,17,15,6
0,Possible,6,26,6
0,Impossible,8,24,7
0,Possible,3,29,7
0,Impossible,2,30,8
0,Possible,1,31,8
0,Impossible,17,15,9
0,Possible,7,25,9
0,Impossible,14,18,10
0,Possible,6,26,10
0,Impossible,7,25,11
0,Possible,2,30,11
0,Impossible,11,21,12
0,Possible,5,27,12
0,Impossible,9,23,13
0,Possible,3,29,13
0,Impossible,16,16,14
0,Possible,5,27,14
0,Impossible,14,18,15
0,Possible,4,28,15
0,Impossible,4,28,16
0,Possible,3,29,16
0,Impossible,3,29,17
0,Possible,1,31,17
0,Impossible,11,21,18
0,Possible,5,27,18
0,Impossible,17,15,19
0,Possible,5,27,19
