,acc,acc_std,val_acc,val_acc_std,loss,loss_std,val_loss,val_loss_std,net_name
0,0.471875,0.04714884124754662,0.4921875,0.04005351309582811,0.6948019035160542,0.33630061149324963,0.69230967015028,0.04005351309582811,AlexNet
0,0.50625,0.055286969530653075,0.5,0.0015279883784561615,0.6929630041122437,2.31002731075888,0.6931592583656311,0.0015279883784561615,VGG11
0,0.49765625,0.05674871092016166,0.5,0.000466400361143728,0.6931880094110966,15.180816436503727,0.6931668728590011,0.000466400361143728,VGG16
0,0.578125,0.05941421737445389,0.5359375,0.06883488361322235,0.6777891930192709,0.051682928670819195,0.7062711104750633,0.06883488361322235,ResNet18
0,0.51484375,0.05413810801557282,0.5484375,0.06574462510106567,0.7083492584526538,0.11189770576201999,0.8246385216712951,0.06574462510106567,ResNet50
0,0.5296875,0.06029278312718008,0.5546875,0.07720784097232951,1.1134483143687248,0.09061415309203465,0.6902430653572083,0.07720784097232951,GoogLeNet
0,0.52890625,0.0585688473630786,0.5328125,0.05923045345582288,0.743391977250576,0.2955883761923861,0.7098947688937187,0.05923045345582288,AlexNet (pretrained)
0,0.5125,0.061032280256382035,0.528125,0.06688201919440004,0.8306560263037681,0.22586311306139142,0.7045004010200501,0.06688201919440004,VGG11 (pretrained)
0,0.54140625,0.06044185043438509,0.5109375,0.06166461612664982,0.8249506182968617,0.27219990540513544,0.7179463416337967,0.06166461612664982,VGG16 (pretrained)
0,0.59609375,0.06317632794255686,0.515625,0.07524959127842985,0.658681296184659,0.03831701959780467,0.7299753904342652,0.07524959127842985,ResNet18 (pretrained)
0,0.60546875,0.06568162004960557,0.5359375,0.07274379970995118,0.6573953323066235,0.04410000304629533,0.727124984562397,0.07274379970995118,ResNet50 (pretrained)
0,0.57109375,0.06496772845180925,0.5390625,0.08038624212918931,0.6831145443022251,0.030001127264432846,0.7073123469948769,0.08038624212918931,GoogLeNet (pretrained)
